Name of State / UT,Total Confirmed cases
Kerala,234
Delhi,97
Telengana,79
Rajasthan,74
Haryana,40
Uttar Pradesh,101
Tamil Nadu,74
Union Territory of Ladakh,10
Karnataka,83
Maharashtra,216
Punjab,41
Union Territory of Jammu and Kashmir,4
Andhra Pradesh,40
Uttarakhand,7
Odisha,3
Puducherry,1
West Bengal,26
Chhattisgarh,8
Union Territory of Chandigarh,1
Gujarat,73
Chandigarh,13
Himachal Pradesh,3
Jammu and Kashmir,54
Ladakh,13
Madhya Pradesh,47
Bihar,15
Manipur,1
Mizoram,1
Andaman and Nicobar Islands,10
Goa,5
